Estado,Municipio,Bairro,Produto,Data da Coleta,Valor de Venda,Unidade de Medida,5%,8%,10%
SP,SERTAOZINHO,CENTRO,GASOLINA,2022-01-04,7.059,R$ / litro,0.35295000000000004,0.56472,0.7059000000000001
SP,SERTAOZINHO,CENTRO,GASOLINA,2022-01-04,6.99,R$ / litro,0.34950000000000003,0.5592,0.6990000000000001
SP,SERTAOZINHO,CENTRO,GASOLINA,2022-01-04,6.97,R$ / litro,0.34850000000000003,0.5576,0.6970000000000001
SP,ARACATUBA,JARDIM PAULISTA,GASOLINA,2022-01-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,ARACATUBA,JD UMUARAMA,GASOLINA,2022-01-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,BIRIGUI,JARDIM SAO CONRADO,GASOLINA,2022-01-04,6.879,R$ / litro,0.34395,0.55032,0.6879
SP,BIRIGUI,JARDIM SAO BRAZ,GASOLINA,2022-01-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,BIRIGUI,RESIDENCIAL MONTE LIBANO,GASOLINA,2022-01-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,BIRIGUI,PARQUE R PINHEIROS,GASOLINA,2022-01-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,BIRIGUI,JARDIM SAO BRAZ,GASOLINA,2022-01-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,BIRIGUI,JARDIM SAO BRAZ,GASOLINA,2022-01-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,SERTAOZINHO,JARDIM SOLJUMAR,GASOLINA,2022-01-04,6.97,R$ / litro,0.34850000000000003,0.5576,0.6970000000000001
SP,BIRIGUI,JARDIM RECANTO DOS PASSAROS,GASOLINA,2022-01-04,6.879,R$ / litro,0.34395,0.55032,0.6879
SP,BIRIGUI,JANDAIA II RESIDENCIAL PARQUE,GASOLINA,2022-01-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,SERTAOZINHO,JARDIM SAO JOSE,GASOLINA,2022-01-04,6.979,R$ / litro,0.34895000000000004,0.55832,0.6979000000000001
SP,BIRIGUI,VILA BANDEIRANTES,GASOLINA,2022-01-04,7.109,R$ / litro,0.35545000000000004,0.56872,0.7109000000000001
SP,BIRIGUI,RECANTO VERDE,GASOLINA,2022-01-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,BIRIGUI,JARDIM ALTO DOS SILVARES,GASOLINA,2022-01-04,6.879,R$ / litro,0.34395,0.55032,0.6879
SP,BIRIGUI,PATRIMONIO SILVARES,GASOLINA,2022-01-04,6.879,R$ / litro,0.34395,0.55032,0.6879
SP,BIRIGUI,COLINAS PARQUE RESIDENCIAL,GASOLINA,2022-01-04,6.849,R$ / litro,0.34245000000000003,0.5479200000000001,0.6849000000000001
SP,SERTAOZINHO,SAO JOAO,GASOLINA,2022-01-04,6.9,R$ / litro,0.34500000000000003,0.552,0.6900000000000001
SP,ARACATUBA,ALVORADA,GASOLINA,2022-01-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,BIRIGUI,JARDIM PINHEIROS,GASOLINA,2022-01-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,MOGI GUACU,JARDIM SANTA TEREZINHA,GASOLINA,2022-07-04,6.949,R$ / litro,0.34745000000000004,0.55592,0.6949000000000001
SP,ADAMANTINA,VILA JAMIL DE LIMA,GASOLINA,2022-07-04,6.68,R$ / litro,0.334,0.5344,0.668
SP,ADAMANTINA,CENTRO,GASOLINA,2022-06-04,6.74,R$ / litro,0.337,0.5392,0.674
SP,ADAMANTINA,VILA INDUSTRIAL,GASOLINA,2022-06-04,6.99,R$ / litro,0.34950000000000003,0.5592,0.6990000000000001
SP,ADAMANTINA,CENTRO,GASOLINA,2022-06-04,6.89,R$ / litro,0.34450000000000003,0.5512,0.6890000000000001
SP,AMPARO,FIGUEIRA,GASOLINA,2022-07-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,AMPARO,CENTRO,GASOLINA,2022-07-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,AMPARO,CENTRO,GASOLINA,2022-07-04,6.889,R$ / litro,0.34445000000000003,0.55112,0.6889000000000001
