Estado,Municipio,Bairro,Produto,Data da Coleta,Valor de Venda,Unidade de Medida
PR,CASCAVEL,CENTRO,GASOLINA,2022-01-04,7.21,R$ / litro
PR,CASCAVEL,CENTRO,ETANOL,2022-01-04,5.11,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA ADITIVADA,2022-01-04,7.23,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA,2022-01-04,7.29,R$ / litro
PR,CASCAVEL,CENTRO,ETANOL,2022-01-04,5.19,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA ADITIVADA,2022-01-04,7.39,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA,2022-01-04,7.27,R$ / litro
PR,CASCAVEL,CENTRO,ETANOL,2022-01-04,5.16,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA ADITIVADA,2022-01-04,7.37,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA,2022-01-04,7.47,R$ / litro
PR,CASCAVEL,CENTRO,ETANOL,2022-01-04,5.38,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA ADITIVADA,2022-01-04,7.67,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA,2022-01-04,7.27,R$ / litro
PR,CASCAVEL,CENTRO,ETANOL,2022-01-04,5.16,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA ADITIVADA,2022-01-04,7.39,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA,2022-01-04,7.29,R$ / litro
PR,CASCAVEL,CENTRO,ETANOL,2022-01-04,5.18,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA ADITIVADA,2022-01-04,7.49,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA,2022-01-04,7.09,R$ / litro
PR,CASCAVEL,CENTRO,ETANOL,2022-01-04,5.09,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA ADITIVADA,2022-01-04,7.09,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA,2022-01-04,7.27,R$ / litro
PR,CASCAVEL,CENTRO,ETANOL,2022-01-04,5.16,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA ADITIVADA,2022-01-04,7.42,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA,2022-01-04,7.27,R$ / litro
PR,CASCAVEL,CENTRO,ETANOL,2022-01-04,5.17,R$ / litro
PR,CASCAVEL,CENTRO,GASOLINA ADITIVADA,2022-01-04,7.37,R$ / litro
RJ,TRES RIOS,CENTRO,GASOLINA,2022-01-04,8.399,R$ / litro
RJ,TRES RIOS,CENTRO,ETANOL,2022-01-04,6.799,R$ / litro
RJ,TRES RIOS,CENTRO,GASOLINA ADITIVADA,2022-01-04,8.599,R$ / litro
RJ,TRES RIOS,CENTRO,GASOLINA,2022-01-04,8.399,R$ / litro
RJ,TRES RIOS,CENTRO,ETANOL,2022-01-04,6.799,R$ / litro
RJ,TRES RIOS,CENTRO,GASOLINA ADITIVADA,2022-01-04,8.559,R$ / litro
RJ,TRES RIOS,PONTO AZUL,GASOLINA,2022-01-04,8.299,R$ / litro
RJ,TRES RIOS,PONTO AZUL,ETANOL,2022-01-04,6.649,R$ / litro
RJ,TRES RIOS,PONTO AZUL,GASOLINA ADITIVADA,2022-01-04,8.399,R$ / litro
RJ,TRES RIOS,PONTO AZUL,GASOLINA,2022-01-04,8.299,R$ / litro
SC,JARAGUA DO SUL,RAU,GASOLINA,2022-01-04,6.898,R$ / litro
SC,JARAGUA DO SUL,RAU,GASOLINA ADITIVADA,2022-01-04,6.898,R$ / litro
SC,JARAGUA DO SUL,CENTRO,GASOLINA,2022-01-04,6.899,R$ / litro
SC,JARAGUA DO SUL,CENTRO,GASOLINA ADITIVADA,2022-01-04,7.099,R$ / litro
SC,JARAGUA DO SUL,CHICO DE PAULO,GASOLINA,2022-01-04,6.899,R$ / litro
SC,JARAGUA DO SUL,CHICO DE PAULO,ETANOL,2022-01-04,6.199,R$ / litro
SC,JARAGUA DO SUL,CHICO DE PAULO,GASOLINA ADITIVADA,2022-01-04,7.099,R$ / litro
SC,JARAGUA DO SUL,CENTRO,GASOLINA,2022-01-04,6.865,R$ / litro
SC,JARAGUA DO SUL,CENTRO,ETANOL,2022-01-04,5.885,R$ / litro
SC,JARAGUA DO SUL,CENTRO,GASOLINA ADITIVADA,2022-01-04,7.065,R$ / litro
SC,JARAGUA DO SUL,CENTRO,GASOLINA,2022-01-04,6.898,R$ / litro
SC,JARAGUA DO SUL,CENTRO,GASOLINA ADITIVADA,2022-01-04,6.898,R$ / litro
SP,SERTAOZINHO,CENTRO,GASOLINA,2022-01-04,7.059,R$ / litro
SP,SERTAOZINHO,CENTRO,ETANOL,2022-01-04,4.749,R$ / litro
SP,SERTAOZINHO,CENTRO,GASOLINA,2022-01-04,6.99,R$ / litro
SP,SERTAOZINHO,CENTRO,ETANOL,2022-01-04,4.69,R$ / litro
SP,SERTAOZINHO,CENTRO,GASOLINA ADITIVADA,2022-01-04,7.0,R$ / litro
SP,SERTAOZINHO,CENTRO,GASOLINA,2022-01-04,6.97,R$ / litro
SP,SERTAOZINHO,CENTRO,ETANOL,2022-01-04,4.69,R$ / litro
SP,SERTAOZINHO,CENTRO,GASOLINA ADITIVADA,2022-01-04,6.99,R$ / litro
